category,test,q_index,original_correct_letter,new_correct_letter,original_text,new_text,rule,confidence,sources,reasoning
"Instrumentation","Instrumentation Test 1",3,C,C,"left turn not enough bank","left turn not enough bank",turn-slip-needle-ball,high,"Turn and slip indicator – Wikipedia","Needle shows turn; ball opposite indicates insufficient bank (slip)."
"Instrumentation","Instrumentation Test 1",4,A,A,"i. Excessive sink rate, ii. Altitude loss after take-off or go-around, iii. Excessive terrain closure rate, iv. Deviation below glide slope, v. Flight into terrain when not in landing configuration, vi. Unsafe terrain clearance when not in landing configuration, vii. Windshear warning","i. Excessive sink rate, ii. Altitude loss after take-off or go-around, iii. Excessive terrain closure rate, iv. Deviation below glide slope, v. Flight into terrain when not in landing configuration, vi. Unsafe terrain clearance when not in landing configuration, vii. Windshear warning",gpws-modes,high,"GPWS – Wikipedia","Modes include excessive sink rate, terrain/obstacle closure, altitude loss after takeoff, glideslope deviation, unsafe terrain clearance, bank angle, windshear."
"Instrumentation","Instrumentation Test 1",5,C,C,"19°","19°",standard-rate-bank,high,"Standard rate turn – Wikipedia","Approx φ ≈ TAS/10 + 7 => ~19°."
"Instrumentation","Instrumentation Test 1",6,B,B,"Fail-operational","Fail-operational",fail-active,high,"Autoland – Wikipedia (fail-operational)","Fail-active equals fail-operational."
"Instrumentation","Instrumentation Test 1",7,B,B,"i. Flaps, ii. Landing gear, iii. Glide slope, v. Radio altimeter","i. Flaps, ii. Landing gear, iii. Glide slope, v. Radio altimeter",gpws-inputs,high,"GPWS – Wikipedia","GPWS uses RA, configuration (flaps/gear), and glideslope inputs; VOR/attitudes are not core inputs."
"Instrumentation","Instrumentation Test 1",8,C,C,"The altitude in the International Standard Atmosphere at which the prevailing density would be found","The altitude in the International Standard Atmosphere at which the prevailing density would be found",density-altitude-def,high,"Density altitude – Wikipedia | FAA PHAK, Ch. 11","Density altitude is the ISA altitude at which the ambient density would occur."
"Instrumentation","Instrumentation Test 1",9,B,B,"SHF 3000 MHz - 30 GHz","SHF 3000 MHz - 30 GHz",radio-altimeter-band,high,"Radar altimeter – Wikipedia","Civil RA operates in SHF (C-band 4.2–4.4 GHz)."
"Instrumentation","Instrumentation - 617 Import",1,A,A,"i ii iii iv v vi vii","i ii iii iv v vi vii",gpws-modes,medium,"GPWS – Wikipedia","Modes include excessive sink rate, terrain/obstacle closure, altitude loss after takeoff, glideslope deviation, unsafe terrain clearance, bank angle, windshear."
"Instrumentation","Instrumentation - 617 Import",2,B,B,"i ii iii v","i ii iii v",gpws-inputs,medium,"GPWS – Wikipedia","GPWS uses RA, configuration (flaps/gear), and glideslope inputs; VOR/attitudes are not core inputs."
"Radio Navigation"," Instrumentation Test 2",2,C,C,"i ii iii vii","i ii iii vii",gpws-modes,medium,"GPWS – Wikipedia","Modes include excessive sink rate, terrain/obstacle closure, altitude loss after takeoff, glideslope deviation, unsafe terrain clearance, bank angle, windshear."
"Radio Navigation"," Instrumentation Test 2",4,B,B,"Fail-operational","Fail-operational",fail-active,high,"Autoland – Wikipedia (fail-operational)","Fail-active equals fail-operational."
"Radio Navigation"," Instrumentation Test 2",5,B,B,"i ii iii v","i ii iii v",gpws-inputs,medium,"GPWS – Wikipedia","GPWS uses RA, configuration (flaps/gear), and glideslope inputs; VOR/attitudes are not core inputs."
