category,test,index,reason,details,question
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","21","Explanation/answer letter mismatch","explains C but correct=D","The fuel tanks of"
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","23","Explanation/answer letter mismatch","explains A but correct=D","What type of fire extinguisher would be used on"
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","26","Explanation/answer letter mismatch","explains C but correct=D","reads fuel quantity by mass 4. compensates for change of aircraft attitude"
"Aircraft General Knowledge","Aircraft General Knowledge Test 2","27","Explanation/answer letter mismatch","explains B but correct=D","The correct extinguisher to use on"
"Aircraft General Knowledge","Aircraft General Knowledge Test 3","24","Explanation/answer letter mismatch","explains B but correct=D","On"
"Aircraft General Knowledge","Aircraft General Knowledge Test 4","21","Explanation/answer letter mismatch","explains B but correct=D","What is the purpose of inboard ailerons:?"
"Aircraft General Knowledge","Aircraft General Knowledge Test 4","23","Explanation/answer letter mismatch","explains B but correct=D","An axial flow compressor when compared to"
"Aircraft General Knowledge","Aircraft General Knowledge Test 5","22","Explanation/answer letter mismatch","explains C but correct=D","What does octane rating when applied to AVGAS refer to?"
"Aircraft General Knowledge","Aircraft General Knowledge Test 5","23","Explanation/answer letter mismatch","explains C but correct=D","What is the purpose of the torque links in"
"Aircraft General Knowledge","Aircraft General Knowledge Test 5","26","Explanation/answer letter mismatch","explains D but correct=C","The requirement for an aircraft to have"
"Aircraft General Knowledge"," A Aircraft General Knowledge Test 5","1","Explanation/answer letter mismatch","explains A but correct=C","The EGT indication on"
"Aircraft General Knowledge"," A Aircraft General Knowledge Test 5","2","Explanation/answer letter mismatch","explains A but correct=B","In an aircraft with"
"Air Law","Air Law Test 3","21","Explanation/answer letter mismatch","explains D but correct=C","Aircraft"
"Air Law","Air Law Test 3","23","Explanation/answer letter mismatch","explains D but correct=A","An aircraft is expected to overtake another aircraft if it is closing from behind in"
"Air Law"," C Air Law Test 2","2","Explanation/answer letter mismatch","explains D but correct=A","In an instrument approach procedure, the segment where the aircraft is lined up with the runway centre line and when the decent is commenced is called:"
"Air Law"," C Air Law Test 2","3","Explanation/answer letter mismatch","explains B but correct=D","Except when cleared by an ATC unit,"
"Air Law"," C Air Law Test 2","6","Explanation/answer letter mismatch","explains B but correct=C","An aircraft, on"
"Air Law"," C Air Law Test 2","8","Explanation/answer letter mismatch","explains D but correct=C","A manoeuvre where"
"Air Law"," A Air Law Test 4","1","Explanation/answer letter mismatch","explains A but correct=D","An aircraft is maintaining FL150 in Class C Airspace. Another aircraft below at FL140 receives"
"Air Law"," A Air Law Test 4","9","Explanation/answer letter mismatch","explains B but correct=D","Temporary changes of long duration (3 months or more) and information of short duration which contains extensive graphics and/or text are published as AIP Supplements. Check lists of these Supplements which are in force are sent to recipients at intervals of not more than:"
"Air Law"," D Air Law Test 5","2","Explanation/answer letter mismatch","explains A but correct=D","Correct Answer: B 8. If no ICAO identifier has been attributed to an aerodrome, what should be entered in Box  of the Flight Plan?"
"Air Law"," D Air Law Test 5","12","Explanation/answer letter mismatch","explains B but correct=D","When"
"AON Aviation"," C AON Aviation Knowledge Test 4","2","Explanation/answer letter mismatch","explains A but correct=C","Report arrival to ATC after landing  B. Continue as per last ATC clearance for  minutes after which revert to your filed flight plan. Squawk 7500 and land as close as possible to your EAT/ . Report arrival to ATC after landing  C. Continue as per last ATC clearance for  minutes after which revert to your filed flight plan. Squawk 7600 and land as close as possible to your EAT/ETA. Report arrival to ATC after landing  D. Continue as per last ATC clearance for  minutes after which revert to your filed flight plan. Squawk 0000 and land as close as possible to your EAT/ETA. Report arrival to ATC after landing  Correct Answer:"
"AON Aviation"," C AON Aviation Knowledge Test 4","5","Explanation/answer letter mismatch","explains B but correct=D","ELR is $1^{\circ}C/100m:$"
"AON Aviation"," C AON Aviation Knowledge Test 5","5","Explanation/answer letter mismatch","explains C but correct=D","The rigidity of"
"AON Aviation"," C AON Aviation Knowledge Test 5","7","Explanation/answer letter mismatch","explains A but correct=D","Which phraseology shall"
"AON Aviation"," D AON Aviation Knowledge Test 6","1","Explanation/answer letter mismatch","explains C but correct=D","If an aeroplane lands below its Max Structural Landing Mass, but above its Performance Limited Landing Mass for the arrival airfield: 1) It might not have sufficient runway length to stop safely 2) Tire temperature limits could be exceeded 3) It will increase structural fatigue 4) Physical damage might be suffered as"
"AON Aviation"," D AON Aviation Knowledge Test 6","3","Explanation/answer letter mismatch","explains A but correct=D","An accumulator in"
"Flight Planning"," C Flight Planning and Monitoring Test 2","2","Explanation/answer letter mismatch","explains B but correct=D","Refer to CAP  MRJT Figure 4.3.1b. Given: Trip Distance 1000 NM, Nil wind, FL290. For"
"Flight Planning"," C Flight Planning and Monitoring Test 2","8","Explanation/answer letter mismatch","explains A but correct=D","Given: Pressure Altitude 10000 ft, OAT -15°C, Power  inHg @ 2300rpm. The fuel flow and KIAS are:"
